"1 HOUR BEFORE","1 DAY BEFORE","OUTPUT"
"4983.17184","4713.8112","4888.3968"
"4888.3968","4689.02628","5072.95872"
"5072.95872","4844.7504","5196.2598"
"5196.2598","5571.46296","5641.2972"
"5641.2972","6150.71304","7153.17732"
"7153.17732","6296.30496","7849.80504"
"7849.80504","6515.16048","6329.97504"
"6329.97504","6269.64948","6292.8756"
"6292.8756","5607.0036","5349.8016"
"5349.8016","5932.7928","5225.40936"
"5225.40936","5675.5908","5000.47452"
"5000.47452","5675.27904","4775.53968"
"4775.53968","5435.5356","6177.05676"
"6177.05676","5572.71","6177.05676"
"6177.05676","6023.2032","6155.7012"
"6155.7012","6110.496","6212.12976"
"6212.12976","7951.75056","7424.25264"
"7424.25264","8013.0114","7407.4176"
"7407.4176","7591.82364","7068.22272"
"7068.22272","7088.17536","6515.784"
"6515.784","6477.12576","6350.08356"
"6350.08356","5848.6176","5502.25224"
"5502.25224","5460.4764","4931.2638"
"4931.2638","5097.89952","4775.53968"
"4775.53968","5062.9824","4713.8112"
"4713.8112","5080.44096","4689.02628"
"4689.02628","5324.8608","4844.7504"
"4844.7504","5970.82752","5571.46296"
"5571.46296","6477.12576","6150.71304"
"6150.71304","6635.8116","6296.30496"
"6296.30496","6635.8116","6515.16048"
"6515.16048","6371.595","6269.64948"
"6269.64948","6303.63132","5607.0036"
"5607.0036","6447.1968","5932.7928"
"5932.7928","6104.2608","5675.5908"
"5675.5908","5778.4716","5675.27904"
"5675.27904","5865.60852","5435.5356"
"5435.5356","5847.0588","5572.71"
"5572.71","6104.2608","6023.2032"
"6023.2032","6704.3988","6110.496"
"6110.496","7510.2984","7951.75056"
"7951.75056","7995.0852","8013.0114"
"8013.0114","7641.2376","7591.82364"
"7591.82364","5918.45184","7088.17536"
"7088.17536","6394.04172","6477.12576"
"6477.12576","5813.70048","5848.6176"
"5848.6176","5619.00636","5460.4764"
"5460.4764","5384.40696","5097.89952"
"5097.89952","5052.38256","5062.9824"
"5062.9824","5277.3174","5080.44096"
"5080.44096","5709.8844","5324.8608"
"5324.8608","6481.4904","5970.82752"
"5970.82752","7272.73728","6477.12576"
"6477.12576","7390.2708","6635.8116"
"6635.8116","7192.92672","6635.8116"
"6635.8116","6412.9032","6371.595"
"6371.595","6464.3436","6303.63132"
"6303.63132","6395.7564","6447.1968"
"6447.1968","4903.9848","6104.2608"
"6104.2608","6292.8756","5778.4716"
"5778.4716","6052.8204","5865.60852"
"5865.60852","6052.8204","5847.0588"
"5847.0588","6121.4076","6104.2608"
"6104.2608","6052.8204","6704.3988"
"6704.3988","8110.4364","7510.2984"
"7510.2984","8196.1704","7995.0852"
"7995.0852","8045.7462","7641.2376"
"7641.2376","7786.206","5918.45184"
"5918.45184","6746.33052","6394.04172"
"6394.04172","5935.9104","5813.70048"
"5813.70048","5447.07072","5619.00636"
"5619.00636","4713.8112","5384.40696"
"5384.40696","5002.50096","5052.38256"
"5052.38256","5037.72984","5277.3174"
"5277.3174","5865.60852","5709.8844"
"5709.8844","5984.2332","6481.4904"
"6481.4904","7474.75776","7272.73728"
"7272.73728","7205.39712","7390.2708"
"7390.2708","6548.83056","7192.92672"
"7192.92672","6001.38","6412.9032"
"6412.9032","6310.0224","6464.3436"
"6464.3436","5864.2056","6395.7564"
"6395.7564","6031.7766","4903.9848"
"4903.9848","4764.31632","6292.8756"
"6292.8756","4730.64624","6052.8204"
"6052.8204","5774.41872","6052.8204"
"6052.8204","6228.9648","6121.4076"
"6121.4076","6464.65536","6052.8204"
"6052.8204","7518.0924","8110.4364"
"8110.4364","8013.7908","8196.1704"
"8196.1704","6366.9186","8045.7462"
"8045.7462","6824.11464","7786.206"
"7786.206","5915.33424","6746.33052"
"6746.33052","5900.21388","5935.9104"
"5935.9104","5761.3248","5447.07072"
"5447.07072","5726.40768","4713.8112"
"4713.8112","6024.13848","5002.50096"
"5002.50096","6599.33568","5037.72984"
"5037.72984","5534.36352","5865.60852"
"5865.60852","6267.62304","5984.2332"
"5984.2332","7482.520584","7474.75776"
"7474.75776","5895.319248","7205.39712"
"7205.39712","6429.613536","6548.83056"
"6548.83056","6094.28448","6001.38"
"6001.38","5709.8844","6310.0224"
"6310.0224","5912.84016","5864.2056"
"5864.2056","6001.38","6031.7766"
"6031.7766","5799.484224","4764.31632"
"4764.31632","5851.11168","4730.64624"
"4730.64624","6040.412352","5774.41872"
"5774.41872","7479.20034","6228.9648"
"6228.9648","7373.124","6464.65536"
"6464.65536","7630.326","7518.0924"
"7518.0924","7476.0048","8013.7908"
"8013.7908","6660.44064","6366.9186"
"6366.9186","6082.74936","6824.11464"
"6824.11464","6292.56384","5915.33424"
"5915.33424","6847.8084","5900.21388"
"5900.21388","5636.6208","5761.3248"
"5761.3248","5307.40224","5726.40768"
"5726.40768","5242.71204","6024.13848"
"6024.13848","5260.01472","6599.33568"
"6599.33568","5829.912","5534.36352"
"5534.36352","6930.4248","6267.62304"
"6267.62304","7897.03668","7482.520584"
"7482.520584","7584.18552","5895.319248"
"5895.319248","4847.24448","6429.613536"
"6429.613536","5933.41632","6094.28448"
"6094.28448","6014.47392","5709.8844"
"5709.8844","5898.4992","5912.84016"
"5912.84016","6138.5544","6001.38"
"6001.38","6001.38","5799.484224"
"5799.484224","5744.48976","5851.11168"
"5851.11168","5709.8844","6040.412352"
"6040.412352","6073.24068","7479.20034"
"7479.20034","6807.2796","7373.124"
"7373.124","7818.9408","7630.326"
"7630.326","7870.3812","7476.0048"
"7476.0048","7716.99528","6660.44064"
"6660.44064","7094.0988","6082.74936"
"6082.74936","6384.68892","6292.56384"
"6292.56384","5640.67368","6847.8084"
"6847.8084","5346.52812","5636.6208"
"5636.6208","5138.89596","5307.40224"
"5307.40224","4940.77248","5242.71204"
"5242.71204","4766.18688","5260.01472"
"5260.01472","5020.1154","5829.912"
"5829.912","5588.76564","6930.4248"
"6930.4248","6436.59696","7897.03668"
"7897.03668","6978.7476","7584.18552"
"7584.18552","6643.44972","4847.24448"
"4847.24448","3907.9116","5933.41632"
"5933.41632","7154.892","6014.47392"
"6014.47392","6498.32544","5898.4992"
"5898.4992","6414.15024","6138.5544"
"6138.5544","7272.11376","6001.38"
"6001.38","8264.7576","5744.48976"
"5744.48976","8058.996","5709.8844"
"5709.8844","7751.60064","6073.24068"
"6073.24068","7267.1256","6807.2796"
"6807.2796","6523.11036","7818.9408"
"7818.9408","5761.79244","7870.3812"
"7870.3812","5363.8308","7716.99528"
"7716.99528","5104.2906","7094.0988"
"7094.0988","4993.14816","6384.68892"
"6384.68892","5202.65088","5640.67368"
"5640.67368","5761.3248","5346.52812"
"5346.52812","5988.28608","5138.89596"
"5138.89596","6197.7888","4940.77248"
"4940.77248","6424.75008","4766.18688"
"4766.18688","6644.22912","5020.1154"
"5020.1154","6626.4588","5588.76564"
